ds,sales,sale_1,sale_2,sale_3,promo_1,promo_2,promo_3,promo_4,fd
2015/7/1,"176,181",1,1,1,0,0,0,0,0
2015/7/2,"203,390",1,1,1,0,0,0,0,0
2015/7/3,"109,715",1,1,1,0,0,0,0,0
2015/7/4,"152,210",1,1,1,0,0,0,0,0
2015/7/5,"164,977",1,1,1,0,0,0,0,0
2015/7/6,"125,149",1,1,1,0,0,0,0,0
2015/7/7,"161,952",1,1,1,0,0,0,0,0
2015/7/8,"167,579",1,1,1,0,0,0,0,0
2015/7/9,"239,434",1,1,1,0,0,0,0,0
2015/7/10,"550,594",1,1,1,1,0,0,0,1
2015/7/11,"298,758",1,1,1,1,0,0,0,0
2015/7/12,"298,578",1,1,1,1,0,0,0,0
2015/7/13,"368,603",1,1,1,1,0,0,0,0
2015/7/14,"303,140",1,1,1,1,0,0,0,0
2015/7/15,"386,321",1,1,1,1,0,0,0,0
2015/7/16,"103,264",1,1,1,0,0,0,0,0
2015/7/17,"126,653",1,1,1,0,0,0,0,0
2015/7/18,"93,781",1,1,1,0,0,0,0,0
2015/7/19,"117,423",1,1,1,0,0,0,0,0
2015/7/20,"137,754",1,1,1,0,0,0,0,0
2015/7/21,"120,905",1,1,1,0,0,0,0,0
2015/7/22,"95,898",1,1,1,0,0,0,0,0
2015/7/23,"67,235",1,1,1,0,0,0,0,0
2015/7/24,"159,072",1,1,1,0,0,0,0,0
2015/7/25,"148,714",1,1,1,0,0,0,0,0
2015/7/26,"95,634",1,1,1,0,0,0,0,0
2015/7/27,"107,278",1,1,1,0,0,0,0,0
2015/7/28,"256,011",1,1,1,0,0,0,0,0
2015/7/29,"174,636",1,1,1,0,0,0,0,0
2015/7/30,"187,736",1,1,1,0,0,0,0,0
2015/7/31,"288,796",1,1,1,0,0,0,0,0
2015/8/1,"59,381",0,0,0,0,0,0,0,0
2015/8/2,"137,437",0,0,0,0,0,0,0,0
2015/8/3,"121,213",0,0,0,0,0,0,0,0
2015/8/4,"106,256",0,0,0,0,0,0,0,0
2015/8/5,"124,866",0,0,0,0,0,0,0,0
2015/8/6,"274,044",0,0,0,0,0,0,0,0
2015/8/7,"241,150",0,0,0,0,0,0,0,0
2015/8/8,"300,348",0,0,0,0,0,0,0,0
2015/8/9,"191,203",0,0,0,0,0,0,0,0
2015/8/10,"94,486",0,0,0,0,0,0,0,0
2015/8/11,"1,023,230",0,0,0,0,0,0,0,0
2015/8/12,"774,381",0,0,0,0,0,0,0,0
2015/8/13,"553,787",0,0,0,0,0,0,0,0
2015/8/14,"175,393",0,0,0,0,0,0,0,0
2015/8/15,"175,807",0,0,0,0,0,0,0,0
2015/8/16,"149,751",0,0,0,0,0,0,0,0
2015/8/17,"213,033",0,0,0,0,0,0,0,0
2015/8/18,"162,851",0,0,0,0,0,0,0,0
2015/8/19,"132,108",0,0,0,0,0,0,0,0
2015/8/20,"257,121",0,0,0,0,0,0,0,0
2015/8/21,"268,694",0,0,0,0,0,0,0,0
2015/8/22,"202,930",0,0,0,0,0,0,0,0
2015/8/23,"141,622",0,0,0,0,0,0,0,0
2015/8/24,"182,658",0,0,0,0,0,0,0,0
2015/8/25,"243,063",0,0,0,0,0,0,0,0
2015/8/26,"214,312",0,0,0,0,0,0,0,0
2015/8/27,"258,403",0,0,0,0,0,0,0,0
2015/8/28,"218,339",0,0,0,0,0,0,0,0
2015/8/29,"228,695",0,0,0,0,0,0,0,0
2015/8/30,"231,706",0,0,0,0,0,0,0,0
2015/8/31,"233,914",0,0,0,0,0,0,0,0
2015/9/1,"272,656",0,0,0,0,0,0,0,0
2015/9/2,"270,765",0,0,0,0,0,0,0,0
2015/9/3,"226,564",0,0,0,0,0,0,0,0
2015/9/4,"199,616",0,0,0,0,0,0,0,0
2015/9/5,"275,968",0,0,0,0,0,0,0,0
2015/9/6,"287,234",0,0,0,0,0,0,0,0
2015/9/7,"223,457",0,0,0,0,0,0,0,0
2015/9/8,"438,093",0,0,0,0,0,0,0,0
2015/9/9,"369,598",0,0,0,0,0,0,0,0
2015/9/10,"407,267",0,0,0,0,0,0,0,0
2015/9/11,"450,938",0,0,0,0,0,0,0,0
2015/9/12,"243,524",0,0,0,0,0,0,0,0
2015/9/13,"260,710",0,0,0,0,0,0,0,0
2015/9/14,"293,529",0,0,0,0,0,0,0,0
2015/9/15,"404,304",0,0,0,0,0,0,0,0
2015/9/16,"296,527",0,0,0,0,0,0,0,0
2015/9/17,"276,125",0,0,0,0,0,0,0,0
2015/9/18,"253,891",0,0,0,0,0,0,0,0
2015/9/19,"248,644",0,0,0,0,0,0,0,0
2015/9/20,"260,280",0,0,0,0,0,0,0,0
2015/9/21,"167,098",0,0,0,0,0,0,0,0
2015/9/22,"411,535",0,0,0,0,0,0,0,0
2015/9/23,"492,446",0,0,0,0,0,0,0,0
2015/9/24,"479,833",0,0,0,0,0,0,0,0
2015/9/25,"555,307",0,0,0,0,0,0,0,0
2015/9/26,"196,997",0,0,0,0,0,0,0,0
2015/9/27,"289,305",0,0,0,0,0,0,0,0
2015/9/28,"231,537",0,0,0,0,0,0,0,0
2015/9/29,"190,126",0,0,0,0,0,0,0,0
2015/9/30,"294,810",0,0,0,0,0,0,0,0
2015/10/1,"341,219",0,0,0,0,0,0,0,0
2015/10/2,"331,146",0,0,0,0,0,0,0,0
2015/10/3,"400,727",0,0,0,0,0,0,0,0
2015/10/4,"388,895",0,0,0,0,0,0,0,0
2015/10/5,"337,131",0,0,0,0,0,0,0,0
2015/10/6,"324,776",0,0,0,0,0,0,0,0
2015/10/7,"245,504",0,0,0,0,0,0,0,0
2015/10/8,"283,418",0,0,0,0,0,0,0,0
2015/10/9,"213,348",0,0,0,0,0,0,0,0
2015/10/10,"145,701",0,0,0,0,0,0,0,0
2015/10/11,"227,042",0,0,0,0,0,0,0,0
2015/10/12,"139,121",0,0,0,0,0,0,0,0
2015/10/13,"247,320",0,0,0,0,0,0,0,0
2015/10/14,"299,216",0,0,0,0,0,0,0,0
2015/10/15,"365,074",0,0,0,0,0,0,0,0
2015/10/16,"446,504",0,0,0,0,0,0,0,0
2015/10/17,"173,832",0,0,0,0,0,0,0,0
2015/10/18,"90,315",0,0,0,0,0,0,0,0
2015/10/19,"170,707",0,0,0,0,0,0,0,0
2015/10/20,"174,335",0,0,0,0,0,0,0,0
2015/10/21,"123,466",0,0,0,0,0,0,0,0
2015/10/22,"162,900",0,0,0,0,0,0,0,0
2015/10/23,"182,862",0,0,0,0,0,0,0,0
2015/10/24,"174,449",0,0,0,0,0,0,0,0
2015/10/25,"161,246",0,0,0,0,0,0,0,0
2015/10/26,"161,063",0,0,0,0,0,0,0,0
2015/10/27,"341,745",0,0,0,0,0,0,0,0
2015/10/28,"250,742",0,0,0,0,0,0,0,0
2015/10/29,"364,642",0,0,0,0,0,0,0,0
2015/10/30,"341,986",0,0,0,0,0,0,0,0
2015/10/31,"119,846",0,0,0,0,0,0,0,0
2015/11/1,"141,504",0,0,0,0,0,0,0,0
2015/11/2,"268,874",0,0,0,0,0,0,0,0
2015/11/3,"194,283",0,0,0,0,0,0,0,0
2015/11/4,"331,622",0,0,0,0,0,0,0,0
2015/11/5,"259,241",0,0,0,0,0,0,0,0
2015/11/6,"247,098",0,0,0,0,0,0,0,0
2015/11/7,"188,382",0,0,0,0,0,0,0,0
2015/11/8,"140,354",0,0,0,0,0,0,0,0
2015/11/9,"221,000",0,0,0,0,0,0,0,0
2015/11/10,"194,148",0,0,0,0,0,0,0,0
2015/11/11,"329,310",0,0,0,0,0,0,0,0
2015/11/12,"257,456",0,0,0,0,0,0,0,0
2015/11/13,"402,965",0,0,0,0,0,0,0,0
2015/11/14,"164,598",0,0,0,0,0,0,0,0
2015/11/15,"117,081",0,0,0,0,0,0,0,0
2015/11/16,"260,985",0,0,0,0,0,0,0,0
2015/11/17,"285,601",0,0,0,0,0,0,0,0
2015/11/18,"203,687",0,0,0,0,0,0,0,0
2015/11/19,"209,118",0,0,0,0,0,0,0,0
2015/11/20,"168,062",0,0,0,0,0,0,0,0
2015/11/21,"162,275",0,0,0,0,0,0,0,0
2015/11/22,"300,400",0,0,0,0,0,0,0,0
2015/11/23,"1,756,816",1,0,0,0,0,0,0,1
2015/11/24,"1,312,587",1,0,0,0,0,0,0,0
2015/11/25,"993,289",1,0,0,0,0,0,0,0
2015/11/26,"1,317,359",1,0,0,0,0,0,0,0
2015/11/27,"2,352,956",1,1,1,0,0,0,0,1
2015/11/28,"1,393,156",1,1,1,0,0,0,0,0
2015/11/29,"1,353,577",1,1,1,0,0,0,0,0
2015/11/30,"1,439,828",1,1,1,0,0,0,0,0
2015/12/1,"773,028",1,1,1,0,0,0,0,0
2015/12/2,"588,257",1,1,1,0,0,0,0,0
2015/12/3,"427,327",1,1,1,0,0,0,0,0
2015/12/4,"425,752",1,1,1,0,0,0,0,0
2015/12/5,"385,487",1,1,1,0,0,0,0,0
2015/12/6,"270,408",1,1,1,0,0,0,0,0
2015/12/7,"395,442",1,1,1,0,0,0,0,0
2015/12/8,"333,792",1,1,1,0,0,0,0,0
2015/12/9,"441,955",1,1,1,0,0,0,0,0
2015/12/10,"502,802",1,1,1,0,0,0,0,0
2015/12/11,"419,293",1,1,1,0,0,0,0,0
2015/12/12,"336,853",1,1,1,0,0,0,0,0
2015/12/13,"448,200",1,1,1,0,0,0,0,0
2015/12/14,"1,830,306",1,1,1,0,0,0,0,0
2015/12/15,"1,654,052",1,1,1,0,0,0,0,0
2015/12/16,"471,595",1,1,1,0,0,0,0,0
2015/12/17,"318,035",1,1,1,0,0,0,0,0
2015/12/18,"464,898",1,1,1,0,0,0,0,0
2015/12/19,"257,326",1,1,1,0,0,0,0,0
2015/12/20,"233,140",1,1,1,0,0,0,0,0
2015/12/21,"298,026",1,1,1,0,0,0,0,0
2015/12/22,"271,997",1,1,1,0,0,0,0,0
2015/12/23,"223,126",1,1,1,0,0,0,0,0
2015/12/24,"250,012",1,1,1,0,0,0,0,0
2015/12/25,"230,867",1,1,1,0,0,0,0,0
2015/12/26,"892,490",1,1,1,0,0,0,0,0
2015/12/27,"933,071",1,1,1,0,0,0,0,0
2015/12/28,"554,219",1,1,1,0,0,0,0,0
2015/12/29,"136,301",1,1,1,0,0,0,0,0
2015/12/30,"188,352",1,1,1,0,0,0,0,0
2015/12/31,"151,633",1,1,1,0,0,0,0,0
2016/1/1,"172,305",1,1,1,0,0,0,0,0
2016/1/2,"119,793",1,1,1,0,0,0,0,0
2016/1/3,"200,472",1,1,1,0,0,0,0,0
2016/1/4,"256,896",1,1,1,0,0,0,0,0
2016/1/5,"269,563",1,1,1,0,0,0,0,0
2016/1/6,"445,653",1,1,1,0,0,0,0,0
2016/1/7,"542,266",1,1,1,0,0,0,0,0
2016/1/8,"408,345",1,1,1,0,0,0,0,0
2016/1/9,"415,449",1,1,1,0,0,0,0,0
2016/1/10,"352,882",1,1,1,0,0,0,0,0
2016/1/11,"377,393",1,1,1,0,0,0,0,0
2016/1/12,"527,293",1,1,1,0,0,0,0,0
2016/1/13,"324,208",1,1,1,0,0,0,0,0
